Tournament_ID,Tournament_Name,Start_Date,End_Date,Winner,Location,Country
T-099-WICX,Jackson Inc Chess Contest,2010-06-02,2010-06-19,DE-93-JWFT,East Bianca,PL
T-653-FUFE,Owens PLC Chess Meet,2010-04-13,2010-04-21,BJ-06-ORJP,Torrestown,CI
T-803-UNGX,Johnson-Gray Chess Contest,2010-11-18,2010-11-29,ZW-12-RGUU,West Samantha,MD
T-159-TJSD,Harris Inc Chess Contest,2010-05-16,2010-05-21,RO-69-VXQU,West Dawn,PE
T-481-ZLHG,Thomas LLC Chess Meet,2010-08-08,2010-08-14,GY-62-VNAL,New Davidfort,NP
T-234-YRAF,Wagner and Sons Chess Meet,2010-09-16,2010-10-05,UZ-77-IBGD,Elizabethburgh,BT
T-858-LHMO,"Mitchell, Williams and Lee Chess Tournament",2010-04-02,2010-04-18,MU-70-KHZU,South Richard,TR
T-219-ZLCP,"Brown, Sellers and Barton Chess Competition",2010-07-09,2010-07-23,JP-99-GFWY,Port Kristenbury,LV
T-568-FUCV,Johnson-Edwards Chess Trials,2010-07-12,2010-07-21,LA-19-GLAU,East Jonathanview,PS
T-077-XZSG,Roberts PLC Chess Contest,2010-09-28,2010-10-12,KW-48-QKZR,Hickmanmouth,BR
T-214-AXAV,"Hill, Terrell and Moore Chess Contest",2010-08-24,2010-09-01,MA-92-EERP,South Benjaminshire,UG
T-657-CGDP,Collins LLC Chess Meet,2010-05-25,2010-06-01,CL-99-MDQK,Deanborough,BO
T-457-IKGZ,Phillips-Wright Chess Contest,2010-12-22,2011-01-09,JO-06-BCRQ,Port Eric,FM
T-834-YHMB,"Cook, Garcia and Atkinson Chess Contest",2010-10-25,2010-11-11,TN-38-REWJ,West Mary,MY
T-918-JQIM,Colon-Vincent Chess Tournament,2011-11-04,2011-11-12,KP-92-WHHD,Kristenhaven,MK
T-149-JTUD,Proctor-White Chess Trials,2011-04-16,2011-04-25,FI-01-HKOI,West Melanie,NP
T-000-AYQU,"Lowe, Gibson and Moore Chess Contest",2011-04-22,2011-05-01,NG-47-ACZZ,Christineburgh,BT
T-423-QNJS,Joseph LLC Chess Contest,2011-11-21,2011-12-03,CA-14-WUMB,Lake Eric,DZ
T-330-SCGK,"Jones, Jones and Johnson Chess Trials",2011-12-03,2011-12-14,GD-11-MCSU,North Larryside,MX
T-444-ZIDC,"Andrews, Barry and Baldwin Chess Contest",2011-07-17,2011-08-04,NG-11-QBLK,Kimberlyshire,JO
T-161-MUFY,Lewis-Thomas Chess Competition,2011-06-26,2011-07-10,AL-93-DZAC,New Jacobville,BF
T-884-ZBLN,Pope-Mcguire Chess Contest,2011-12-14,2011-12-25,BO-28-UZGW,Dunnville,ZW
T-404-PYRD,Orr Inc Chess Contest,2011-02-01,2011-02-07,IL-67-VJXO,Jenkinsmouth,SL
T-037-AAFV,Walker PLC Chess Competition,2012-11-10,2012-11-26,ZA-32-GURW,Port Henry,OM
T-641-MSAQ,"Fisher, Anderson and Washington Chess Meet",2012-03-06,2012-03-22,UG-63-VKPB,West Ronnie,SR
T-160-UQIB,Woods-Robinson Chess Tournament,2012-05-05,2012-05-23,UZ-76-PUIL,Scottton,GW
T-786-DGPT,Butler Ltd Chess Trials,2012-06-01,2012-06-19,NG-36-DHRA,Kimberlyside,BS
T-900-JTNV,"Bass, Schultz and Miller Chess Contest",2012-04-12,2012-04-25,BD-82-HULJ,South Barry,CV
T-170-AZRL,Espinoza LLC Chess Tournament,2012-07-10,2012-07-25,RO-69-VXQU,Port Nicole,KR
T-627-RAKW,Morris Group Chess Trials,2012-04-21,2012-05-05,CA-14-WUMB,Arthurmouth,IQ
T-554-UMOV,"Huang, Anderson and Dickerson Chess Competition",2012-07-16,2012-07-25,ET-29-QXHS,Onealtown,NI
T-249-BQKZ,"Thomas, Peterson and Bryan Chess Tournament",2012-02-09,2012-02-27,RW-85-LQSM,Jessicaburgh,JO
T-937-VPWM,Smith-Carrillo Chess Tournament,2013-07-05,2013-07-25,TL-26-UMMW,East Devin,AF
T-630-BBGM,Houston-Mills Chess Contest,2013-06-22,2013-07-09,ZW-72-BOGZ,Smithmouth,CI
T-257-YVFU,"Burton, Johnson and Winters Chess Competition",2013-04-26,2013-05-08,HR-26-QRZW,Port Martinchester,NZ
T-727-VVQV,Ryan-Bryan Chess Competition,2013-07-13,2013-08-02,TJ-60-ISZX,Johnburgh,ML
T-521-ENNC,"Suarez, Lynch and Morgan Chess Competition",2013-06-13,2013-06-24,MH-09-ZFGF,South Terri,LI
T-618-IHTE,Bradley-Zuniga Chess Trials,2013-07-28,2013-08-04,TO-10-WCBZ,South Duaneshire,GT
T-302-JMRZ,"Miller, Pratt and Reed Chess Contest",2013-03-21,2013-04-09,GR-21-PAOS,Lake Melanie,CF
T-015-BVIK,Prince-Sheppard Chess Trials,2013-03-10,2013-03-21,LI-51-NUUA,New Anna,RU
T-049-ITBR,Acosta Group Chess Contest,2013-07-10,2013-07-21,PE-54-VINF,Josephport,ET
T-478-OFKV,"Jones, Contreras and Mcdaniel Chess Competition",2014-04-08,2014-04-13,JO-06-BCRQ,Crystalside,AT
T-795-BZIN,Ramos PLC Chess Trials,2014-04-22,2014-05-03,ER-35-DGSN,North Christopherview,TL
T-093-RWAZ,Mccall-Long Chess Meet,2014-05-07,2014-05-21,TN-38-REWJ,Christineville,KP
T-217-XTKA,Cook-Henry Chess Trials,2014-02-22,2014-03-06,DK-43-OIHE,Johnmouth,KG
T-363-IQZK,"Williams, Shannon and Lopez Chess Trials",2014-04-04,2014-04-21,EC-34-CGCO,Simpsonfort,SL
T-201-BATT,Hopkins-Atkins Chess Contest,2014-09-13,2014-09-23,DE-93-JWFT,Port Bruce,BI
T-790-PPOR,Key-Smith Chess Meet,2014-02-07,2014-02-25,NG-11-QBLK,Sarahstad,BB
T-699-NIVT,Norris-Christensen Chess Contest,2014-11-15,2014-11-23,MT-88-NPHV,Kingchester,MH
T-083-ZWIU,"Armstrong, Cooper and Owens Chess Tournament",2014-01-29,2014-02-08,DZ-43-MXBX,Kerryport,EC
T-578-HMNO,Lee-Steele Chess Tournament,2014-05-07,2014-05-18,PA-55-KOZI,Kathleenport,CZ
T-496-JBXD,Wilson Ltd Chess Contest,2014-04-24,2014-05-09,NZ-13-IKUU,South Sheila,TD
T-916-GNRH,Ramirez-Johnson Chess Trials,2014-09-05,2014-09-12,SC-79-IMIA,East Latashafurt,ST
T-663-XERH,Aguilar LLC Chess Tournament,2014-02-12,2014-02-18,UG-59-KKOA,New Lisaton,SR
T-090-YDTM,Ruiz-Ayala Chess Tournament,2014-12-28,2015-01-12,MN-13-NZOU,Davidshire,CL
T-244-NLBQ,"Day, Clark and Turner Chess Trials",2015-08-24,2015-09-10,MK-26-RPMI,Smithfurt,PA
T-658-VNVY,Griffin LLC Chess Competition,2015-01-07,2015-01-20,CO-26-CNPJ,Jamesside,PS
T-014-MQEY,Jones-Cox Chess Meet,2015-01-13,2015-01-31,IL-67-VJXO,Williamsborough,TT
T-691-DPEI,Davis Ltd Chess Trials,2015-06-21,2015-07-01,NG-11-QBLK,North Michael,GY
T-655-HQKL,Bauer LLC Chess Meet,2015-07-15,2015-08-02,RO-69-VXQU,New Julieburgh,LY
T-521-MQMK,"Johnson, Johnson and Ramsey Chess Trials",2015-09-02,2015-09-18,UZ-76-PUIL,Port Scottbury,TR
T-482-TYHS,Clark-Brock Chess Competition,2015-01-24,2015-01-31,IE-58-HOPB,South Matthew,HU
T-259-QASQ,"Ortega, Christian and Simmons Chess Tournament",2015-04-05,2015-04-24,NI-25-MBLX,West Matthewfurt,TH
T-093-OAHP,Obrien Inc Chess Competition,2015-06-22,2015-07-09,SM-34-XUJH,Samanthamouth,CV
T-416-XJWM,Scott-Peterson Chess Contest,2015-09-02,2015-09-19,ME-33-OQHF,East Selena,BZ
T-583-PQFR,Owens LLC Chess Tournament,2016-09-26,2016-10-05,MH-61-QXMW,North William,IT
T-740-TVRO,Houston-Yates Chess Contest,2016-11-23,2016-12-07,MG-97-KWIZ,North Kristinview,SI
T-201-ZHZR,Hernandez Ltd Chess Trials,2016-03-11,2016-03-23,MY-67-YTSZ,Lawrenceborough,HN
T-934-CFXC,"Nguyen, Turner and Garrett Chess Tournament",2016-07-12,2016-07-25,BJ-06-ORJP,Gregoryfort,JO
T-583-UXIL,Adams and Sons Chess Tournament,2016-05-03,2016-05-12,QA-29-EMVO,West Mckenzie,MT
T-480-JQHO,Brown-Martin Chess Tournament,2016-07-05,2016-07-19,AT-23-VEIS,West Andrewmouth,GH
T-087-JFGA,Floyd LLC Chess Meet,2016-12-09,2016-12-20,FI-01-HKOI,Port Ashley,BE
T-333-SJFP,"Bolton, Ward and Santiago Chess Meet",2016-05-21,2016-06-03,PS-29-LGSG,Johnborough,MY
T-633-MAFR,Walker LLC Chess Trials,2016-06-05,2016-06-11,CV-22-ZKOU,North Sharonland,IS
T-552-SIWB,"Dillon, Wells and Hunt Chess Meet",2016-08-13,2016-08-28,TH-53-BZPN,New Brianstad,MA
T-856-BISL,Parker-Benson Chess Competition,2016-05-16,2016-05-25,AR-98-XSUS,West Matthewton,SZ
T-289-LIBH,"Howard, Martin and Yang Chess Contest",2016-01-04,2016-01-15,CA-14-WUMB,Dawnport,SG
T-344-LOQZ,Kelly-Mcguire Chess Tournament,2017-04-21,2017-05-07,BS-87-BDRY,Mariaview,SI
T-529-WFMU,Roberson LLC Chess Meet,2017-01-22,2017-02-06,BN-84-ZJBF,Hernandezburgh,DK
T-254-ALFW,"Graham, Charles and Rocha Chess Competition",2017-10-26,2017-10-31,IQ-67-LEQI,Victoriamouth,KM
T-979-ORNY,"Allen, Duarte and Mcgee Chess Competition",2017-07-15,2017-08-02,GY-57-AKOL,East Melanie,CD
T-318-ECKR,Moore-Carlson Chess Contest,2017-11-23,2017-12-11,ME-61-ZIHS,Morrisonfurt,MZ
T-265-ZSEQ,Chung-White Chess Contest,2017-10-13,2017-10-29,IL-81-DHOY,Port Sonyafurt,KN
T-401-BZZE,Johnson and Sons Chess Contest,2018-01-18,2018-02-01,TJ-01-OYTT,Williamstown,SV
T-719-PLZL,"Marks, Tucker and Black Chess Trials",2018-10-10,2018-10-25,AF-29-CSEK,West Brianshire,TW
T-287-ADDB,Hernandez Group Chess Meet,2018-09-14,2018-09-19,ZA-63-AFKE,Jessicaside,ET
T-587-BPIV,Ayers and Sons Chess Competition,2018-07-20,2018-08-08,KM-89-OFFN,Davismouth,NG
T-147-UTZW,"Taylor, Brown and Jones Chess Competition",2018-12-08,2018-12-21,JO-06-BCRQ,East Mark,CZ
T-017-PXMY,Simmons and Sons Chess Contest,2019-12-26,2020-01-06,NI-37-XQHU,North Rachelfurt,MD
T-084-USGA,Phillips-Smith Chess Contest,2019-10-04,2019-10-22,NG-73-HKXR,Port Michael,LC
T-281-NSXH,Bartlett-Perez Chess Competition,2019-11-29,2019-12-17,NI-47-FGTP,Smithview,UY
T-590-ADDC,Hart-Bailey Chess Trials,2019-04-20,2019-05-01,RS-55-KLLS,Lanceside,AM
T-163-RXFL,"Saunders, Collins and Vazquez Chess Trials",2019-09-20,2019-09-27,KP-72-IYPD,Patriciaton,BY
T-083-OALQ,"Bailey, Snyder and Smith Chess Tournament",2019-12-03,2019-12-22,JP-52-ZIZP,Derekport,AZ
T-077-SOPH,Williams-Rios Chess Competition,2019-01-02,2019-01-13,GY-62-VNAL,New Meganville,SK
T-341-NRXE,"Mendoza, Wood and Lopez Chess Tournament",2019-10-03,2019-10-23,TH-52-MIRM,Johnsonside,JP
T-012-LLED,"Johnson, Torres and Montes Chess Contest",2019-02-07,2019-02-16,NE-18-MEEZ,West Kristenville,CO
T-547-ZPSM,Vang-Campos Chess Trials,2019-12-20,2019-12-27,PE-68-DADK,South Brandon,NG
T-199-RKWL,"Kent, Holland and Morgan Chess Tournament",2019-01-29,2019-02-06,PW-01-HUVQ,Tammymouth,KM
T-160-FQYX,Miller PLC Chess Tournament,2019-06-10,2019-06-26,MU-70-KHZU,West Davidhaven,SE
T-545-NLGQ,Lozano-Mcgee Chess Trials,2019-09-05,2019-09-20,GY-62-VNAL,New Stevenshire,SZ
T-854-GPYY,Cantu-Kim Chess Competition,2020-02-24,2020-03-05,CR-85-LEUU,Castanedamouth,CI
T-144-FSVF,"Fleming, Villanueva and Russell Chess Tournament",2020-07-31,2020-08-14,PG-78-IXJG,Sampsonville,RU
T-791-OOYE,"Castro, Barr and Horne Chess Competition",2020-03-13,2020-03-20,WS-69-YHCX,West Rhondaview,BF
T-645-FEAY,"Johnson, Fields and Wyatt Chess Competition",2020-08-22,2020-09-06,ZW-72-BOGZ,Lake David,LC
T-992-WDFO,Hancock Inc Chess Meet,2020-06-20,2020-06-25,FJ-29-CKSN,Calebport,LY
T-601-IRKK,Franklin-Greene Chess Trials,2020-05-15,2020-05-24,CR-83-OMOQ,Lake Teresa,VN
T-475-NRFN,Cline Group Chess Meet,2020-06-19,2020-06-30,IL-81-DHOY,East Paulfort,AU
T-651-DGCT,Mccarthy-White Chess Contest,2020-07-26,2020-08-11,PW-01-HUVQ,Lake Mark,AF
T-128-QFBO,Gardner-Huang Chess Meet,2020-09-15,2020-10-04,PL-36-HMRX,Scottton,GQ
T-416-PIAJ,"Farrell, King and Chen Chess Competition",2020-09-24,2020-10-14,MD-51-GMWM,East Felicia,MZ
T-883-QMFJ,Francis-Larson Chess Trials,2020-11-24,2020-11-30,GY-62-VNAL,South Tammy,SK
T-522-VJEI,"Bright, Thomas and Chen Chess Competition",2020-04-07,2020-04-14,LV-74-HDAN,Braunshire,BR
T-343-TQYP,Sexton and Sons Chess Meet,2020-02-08,2020-02-16,NG-37-TUDL,Courtneyview,VU
T-291-ZVAZ,Kelley-Bailey Chess Contest,2020-03-30,2020-04-10,CA-14-WUMB,Christopherstad,MA
T-742-NLYR,"Martinez, Stuart and Galvan Chess Trials",2020-04-28,2020-05-06,MH-61-QXMW,Robinsonburgh,KP
T-119-TSHL,Steele-Villegas Chess Trials,2021-07-06,2021-07-16,BD-73-VDRS,Henrybury,BO
T-334-DLDY,"Kim, Peterson and Dunn Chess Tournament",2021-10-06,2021-10-14,GB-66-PTAS,Rachelshire,SV
T-094-ZQCY,Richard and Sons Chess Meet,2021-03-15,2021-03-24,TN-38-REWJ,Port Davidshire,UG
T-335-TGJX,Foster Inc Chess Contest,2021-05-20,2021-05-30,UY-98-WJIP,Russellfurt,ST
T-453-UMIY,"Burns, Bryan and Crawford Chess Tournament",2021-05-16,2021-05-29,TW-96-IQTA,North Tinaview,MZ
T-955-MHTP,Craig PLC Chess Tournament,2021-06-13,2021-06-22,LS-03-PXLG,New Brettport,MZ
T-763-LRND,Rodriguez and Sons Chess Competition,2021-10-02,2021-10-20,NE-18-MEEZ,Harringtonton,VN
T-297-TSRB,Hayes-Smith Chess Contest,2021-02-11,2021-03-01,RS-55-KLLS,Riverafort,MW
T-001-HCJB,Mcbride-Moran Chess Competition,2021-12-17,2021-12-31,NA-07-KQGZ,West Allenburgh,BT
T-353-BOIV,"Reynolds, Griffith and Ortiz Chess Trials",2021-01-27,2021-02-09,MR-53-KAJP,Johnmouth,AD
T-996-CYNF,"Conley, Schmidt and Brown Chess Trials",2021-07-22,2021-08-04,DE-93-JWFT,West Jenniferside,TT
